Threshold,TotalErr
0.00030210119439288974,6.6733175318615473e-05
0.00030410106410272419,6.6733175318615473e-05
0.00030610093381255865,6.6733175318615473e-05
0.00030810080352239311,6.6733175318615473e-05
0.00031010067323222756,6.6733175318615473e-05
0.00031210054294206202,6.6733175318615473e-05
0.00031410041265189648,6.6733175318615473e-05
0.00031610028236173093,6.6733175318615473e-05
0.00031810015207156539,6.6733175318615473e-05
0.00032010002178139985,6.6733175318615473e-05
0.0003220998914912343,6.6733175318615473e-05
0.00032409976120106876,6.6733175318615473e-05
0.00032609963091090322,6.6733175318615473e-05
0.00032809950062073767,6.6733175318615473e-05
0.00033009937033057213,6.6733175318615473e-05
0.00033209924004040658,6.6733175318615473e-05
0.00033409910975024104,6.6733175318615473e-05
0.0003360989794600755,6.6733175318615473e-05
0.00033809884916990995,6.6733175318615473e-05
0.00034009871887974441,6.6733175318615473e-05
0.00034209858858957887,6.6733175318615473e-05
0.00034409845829941332,6.6733175318615473e-05
0.00034609832800924778,6.6733175318615473e-05
0.00034809819771908224,6.6733175318615473e-05
0.00035009806742891669,6.6733175318615473e-05
0.00035209793713875115,6.6733175318615473e-05
0.00035409780684858561,6.6733175318615473e-05
0.00035609767655842006,6.6733175318615473e-05
0.00035809754626825452,6.6733175318615473e-05
0.00036009741597808897,6.6733175318615473e-05
0.00036209728568792343,6.6733175318615473e-05
0.00036409715539775789,6.6733175318615473e-05
0.00036609702510759234,6.6733175318615473e-05
0.0003680968948174268,6.6733175318615473e-05
0.00037009676452726126,6.6733175318615473e-05
0.00037209663423709571,6.6733175318615473e-05
0.00037409650394693017,6.6733175318615473e-05
0.00037609637365676463,6.6733175318615473e-05
0.00037809624336659908,6.6733175318615473e-05
0.00038009611307643354,6.6733175318615473e-05
0.000382095982786268,6.6733175318615473e-05
0.00038409585249610245,6.6733175318615473e-05
0.00038609572220593691,6.6733175318615473e-05
0.00038809559191577137,6.6733175318615473e-05
0.00039009546162560582,6.6733175318615473e-05
0.00039209533133544028,6.6733175318615473e-05
0.00039409520104527473,6.6733175318615473e-05
0.00039609507075510919,6.6733175318615473e-05
0.00039809494046494365,6.6733175318615473e-05
0.0004000948101747781,6.6733175318615473e-05
0.00040209467988461256,6.6733175318615473e-05
0.00040409454959444702,6.6733175318615473e-05
0.00040609441930428147,6.6733175318615473e-05
